explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
nan,604,69,nan,nan,11040,nan
nan,605,70,nan,nan,11200,nan
nan,606,71,nan,nan,11360,nan
nan,606,72,nan,nan,11520,nan
nan,607,73,nan,nan,11680,nan
nan,608,74,nan,nan,11840,nan
nan,610,75,nan,nan,12000,nan
nan,610,76,nan,nan,12160,nan
nan,612,77,nan,nan,12320,nan
nan,612,78,nan,nan,12480,nan
nan,614,79,nan,nan,12640,nan
nan,615,80,nan,nan,12800,nan
nan,615,81,nan,nan,12960,nan
nan,616,82,nan,nan,13120,nan
nan,617,83,nan,nan,13280,nan
nan,618,84,nan,nan,13440,nan
nan,619,85,nan,nan,13600,nan
nan,620,86,nan,nan,13760,nan
nan,621,87,nan,nan,13920,nan
nan,622,88,nan,nan,14080,nan
nan,623,89,nan,nan,14240,nan
nan,624,90,nan,nan,14400,nan
nan,625,91,nan,nan,14560,nan
nan,626,92,nan,nan,14720,nan
nan,627,93,nan,nan,14880,nan
nan,628,94,nan,nan,15040,nan
nan,629,95,nan,nan,15200,nan
nan,630,96,nan,nan,15360,nan
nan,630,97,nan,nan,15520,nan
nan,631,98,nan,nan,15680,nan
nan,632,99,nan,nan,15840,nan
nan,633,100,nan,nan,16000,nan
nan,634,101,nan,nan,16160,nan
nan,635,102,nan,nan,16320,nan
nan,635,103,nan,nan,16480,nan
nan,636,104,nan,nan,16640,nan
nan,637,105,nan,nan,16800,nan
nan,638,106,nan,nan,16960,nan
nan,638,107,nan,nan,17120,nan
nan,639,108,nan,nan,17280,nan
nan,640,109,nan,nan,17440,nan
nan,640,110,nan,nan,17600,nan
nan,641,111,nan,nan,17760,nan
nan,642,112,nan,nan,17920,nan
nan,643,113,nan,nan,18080,nan
nan,643,114,nan,nan,18240,nan
nan,642,115,nan,nan,18400,nan
nan,636,116,nan,nan,18560,nan
nan,632,117,nan,nan,18720,nan
nan,629,118,nan,nan,18880,nan
nan,624,119,nan,nan,19040,nan
nan,620,120,nan,nan,19200,nan
nan,617,121,nan,nan,19360,nan
nan,613,122,nan,nan,19520,nan
nan,610,123,nan,nan,19680,nan
nan,607,124,nan,nan,19840,nan
nan,604,125,nan,nan,20000,nan
nan,601,126,nan,nan,20160,nan
nan,598,127,nan,nan,20320,nan
nan,596,128,nan,nan,20480,nan
nan,593,129,nan,nan,20640,nan
nan,591,130,nan,nan,20800,nan
nan,589,131,nan,nan,20960,nan
nan,587,132,nan,nan,21120,nan
nan,584,133,nan,nan,21280,nan
nan,583,134,nan,nan,21440,nan
nan,583,135,nan,nan,21600,nan
nan,582,136,nan,nan,21760,nan
