explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
-1.1920928955078125e-07,200,28,1.7841949462890625,-0.20738233625888824,4480,0.46691322326660156
0.0,202,29,1.7839235067367554,-0.15402524173259735,4640,0.1719030886888504
0.0,204,30,1.7835944890975952,-0.014425015076994896,4800,0.3149010241031647
0.0,206,31,1.7833988666534424,-0.3655482232570648,4960,0.3799314796924591
-1.1920928955078125e-07,209,32,1.7832527160644531,-0.7424532175064087,5120,0.8005439639091492
0.0,211,33,1.7832473516464233,-0.5232679843902588,5280,0.453876256942749
5.960464477539063e-08,213,34,1.783063530921936,-0.4073781371116638,5440,0.42572131752967834
-1.1920928955078125e-07,215,35,1.782802939414978,-0.4930914640426636,5600,0.2296905219554901
0.0,216,36,1.782578706741333,-0.7407914996147156,5760,0.7737839221954346
0.0,218,37,1.7823574542999268,-0.776417076587677,5920,0.5086978077888489
0.0,220,38,1.782061219215393,0.6049185395240784,6080,0.5743190050125122
0.0,221,39,1.781787633895874,-0.010129365138709545,6240,0.650722861289978
0.0,223,40,1.781572937965393,0.03794260323047638,6400,0.9907590746879578
0.0,224,41,1.7814048528671265,-0.21107226610183716,6560,0.4854181706905365
0.0,226,42,1.7811225652694702,-0.8034133315086365,6720,0.5148779153823853
0.0,227,43,1.7807470560073853,-0.29913800954818726,6880,0.23420676589012146
0.0,228,44,1.7804365158081055,0.04823428764939308,7040,0.1317175179719925
0.0,229,45,1.7801616191864014,0.07855023443698883,7200,0.5629265308380127
-1.1920928955078125e-07,231,46,1.7801592350006104,-0.2149832397699356,7360,1.1265186071395874
0.0,232,47,1.78009831905365,-0.6716575026512146,7520,1.0757076740264893
0.0,233,48,1.7798230648040771,-0.617871880531311,7680,0.3546098470687866
0.0,234,49,1.7796252965927124,-0.3258366882801056,7840,0.07009151577949524
0.0,235,50,1.7794185876846313,-0.11670198291540146,8000,0.7954748868942261
0.0,236,51,1.7789649963378906,-0.2744104564189911,8160,0.38929370045661926
1.1920928955078125e-07,237,52,1.7786638736724854,-0.6001600027084351,8320,0.3445512652397156
0.0,239,53,1.7784278392791748,-0.2785559594631195,8480,0.027369756251573563
-1.1920928955078125e-07,240,54,1.7781636714935303,-0.5557244420051575,8640,0.3064340651035309
0.0,240,55,1.7781635522842407,-0.6741995215415955,8800,0.40774649381637573
0.0,241,56,1.7782325744628906,-0.5199755430221558,8960,0.24870601296424866
0.0,242,57,1.7782618999481201,0.006825922057032585,9120,0.503563404083252
0.0,243,58,1.7782609462738037,-0.04837054759263992,9280,0.6184107661247253
0.0,244,59,1.778045892715454,-0.34601932764053345,9440,0.5553396940231323
-1.1920928955078125e-07,245,60,1.7777204513549805,-0.36947205662727356,9600,0.3504287600517273
0.0,245,61,1.7774137258529663,0.32529523968696594,9760,0.4413606524467468
-1.1920928955078125e-07,246,62,1.7771114110946655,-0.12825427949428558,9920,0.5183020830154419
0.0,247,63,1.7766969203948975,-0.3603770136833191,10080,0.4419199526309967
0.0,248,64,1.7763659954071045,-0.5503679513931274,10240,0.6577525734901428
1.1920928955078125e-07,248,65,1.7760236263275146,0.06904202699661255,10400,0.16613993048667908
-1.1920928955078125e-07,249,66,1.7758359909057617,0.24205072224140167,10560,0.47718533873558044
1.1920928955078125e-07,250,67,1.775647521018982,1.1002663373947144,10720,1.033345103263855
5.960464477539063e-08,250,68,1.775632619857788,0.7152132987976074,10880,0.6394822001457214
0.0,251,69,1.7756013870239258,-0.4860154390335083,11040,0.48633521795272827
0.0,251,70,1.7757238149642944,0.015653181821107864,11200,0.5963307619094849
0.0,252,71,1.7757289409637451,-0.340321809053421,11360,0.22204819321632385
-1.1920928955078125e-07,253,72,1.7759685516357422,-0.17582234740257263,11520,0.23606479167938232
1.1920928955078125e-07,253,73,1.776049017906189,-0.7583441734313965,11680,0.44928136467933655
0.0,253,74,1.7760578393936157,-0.8649279475212097,11840,0.5492062568664551
0.0,254,75,1.7760728597640991,-0.18104475736618042,12000,0.2099144458770752
0.0,255,76,1.776123046875,0.06344945728778839,12160,0.4193043112754822
0.0,255,77,1.7764885425567627,0.2278618961572647,12320,0.5781909823417664
0.0,256,78,1.7769334316253662,-0.4430118501186371,12480,0.48516565561294556
1.7881393432617188e-07,256,79,1.7769991159439087,-0.5854714512825012,12640,0.282170832157135
1.1920928955078125e-07,257,80,1.7770839929580688,-0.25265493988990784,12800,0.15920336544513702
1.1920928955078125e-07,257,81,1.7771961688995361,-0.10638799518346786,12960,0.0719120129942894
-1.1920928955078125e-07,258,82,1.7772926092147827,-0.47580352425575256,13120,0.7449905276298523
0.0,258,83,1.7775509357452393,-0.14765402674674988,13280,0.18112364411354065
1.1920928955078125e-07,259,84,1.7777106761932373,-0.21555644273757935,13440,0.5336336493492126
0.0,259,85,1.7778501510620117,0.06958045065402985,13600,0.4766658842563629
1.1920928955078125e-07,259,86,1.777711272239685,0.6567052006721497,13760,0.6014073491096497
0.0,260,87,1.7773700952529907,-0.3590219020843506,13920,0.4102555811405182
